,mean,std dev,min,25%,50%,75%,max,skewness,kurtosis,
gm,-0.01,0.13,-0.39,-0.09,-0.02,0.06,0.28,-0.21,0.51,
msft,0.0,0.11,-0.34,-0.06,-0.0,0.05,0.41,0.61,2.36,
xom,0.01,0.05,-0.12,-0.03,0.0,0.04,0.23,0.75,2.3,
mkt,0.0,0.05,-0.18,-0.02,0.01,0.04,0.08,-0.83,1.36,
riskfree,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,-1.42,
ExR_Market,-0.0,0.05,-0.18,-0.02,0.01,0.03,0.08,-0.81,1.28,
ExR_Microsoft,-0.0,0.11,-0.35,-0.06,-0.0,0.05,0.4,0.59,2.34,
ExR_GM,-0.01,0.13,-0.39,-0.09,-0.02,0.06,0.27,-0.2,0.49,
ExR_MobilExxon,0.01,0.05,-0.12,-0.03,-0.0,0.04,0.23,0.75,2.31,
